# TIME ENERGY
   -9.9996 1500.2
   -9.9986 143.6
   -9.9980 114.7
   -9.9980 504.4
   -9.9962   5.7
   -9.9960  25.9
   -9.9959  36.5
   -9.9947  43.3
   -9.9946 519.1
   -9.9934 157.7
   -9.9933  72.0
   -9.9923  11.0
   -9.9921  43.3
   -9.9905  18.9
   -9.9901 436.4
   -9.9896 208.0
   -9.9889 345.3
   -9.9876  25.9
   -9.9872  25.9
   -9.9867 157.7
   -9.9862 1500.2
   -9.9860  31.3
   -9.9856  39.8
   -9.9851 256.9
   -9.9846 195.7
   -9.9845  23.1
   -9.9830  53.7
   -9.9821 1500.2
   -9.9818  17.6
   -9.9798  41.5
   -9.9783 241.9
   -9.9776  11.0
   -9.9773  23.1
   -9.9770  93.8
   -9.9753  23.1
   -9.9751  13.1
   -9.9744 173.2
   -9.9740  97.1
   -9.9738  25.9
   -9.9738  36.5
   -9.9737  21.7
   -9.9734  27.6
   -9.9733  45.2
   -9.9719  97.1
   -9.9715  16.5
   -9.9710 366.2
   -9.9707  66.3
   -9.9705  21.7
   -9.9700  35.0
   -9.9686  12.1
   -9.9685  18.9
   -9.9651  17.6
   -9.9644 178.6
   -9.9621 234.7
   -9.9618 297.9
   -9.9617  20.3
   -9.9613  17.6
   -9.9600  33.3
   -9.9584 249.3
   -9.9582  14.2
   -9.9578  15.3
   -9.9576 981.0
   -9.9574  21.7
   -9.9573 143.6
   -9.9552  11.0
   -9.9543 981.0
   -9.9537 1500.2
   -9.9519  21.7
   -9.9516 249.3
   -9.9495 634.3
   -9.9469  24.5
   -9.9469  18.9
   -9.9467 1500.2
   -9.9463  18.9
   -9.9461  20.3
   -9.9448  16.5
   -9.9428  39.8
   -9.9427  16.5
   -9.9402  25.9
   -9.9397  47.2
   -9.9392  39.8
   -9.9385  33.3
   -9.9382 981.0
   -9.9379 114.7
   -9.9376 423.7
   -9.9374  31.3
   -9.9367  81.0
   -9.9358 122.4
   -9.9341 297.9
   -9.9332 130.6
   -9.9314 107.4
   -9.9310  77.9
   -9.9286 981.0
   -9.9257   8.4
   -9.9254  17.6
   -9.9252 130.6
   -9.9244  39.8
   -9.9230  29.4
   -9.9220 1500.2
   -9.9213  20.3
   -9.9209 1500.2
   -9.9204  24.5
   -9.9183 1500.2
   -9.9156 256.9
   -9.9150  74.9
   -9.9147 504.4
   -9.9147 184.1
   -9.9144  38.1
   -9.9143  13.1
   -9.9133 399.8
   -9.9131 139.2
   -9.9119 549.8
   -9.9117  20.3
   -9.9114  27.6
   -9.9093 221.0
   -9.9086  49.3
   -9.9071 1500.2
   -9.9035  15.3
   -9.9019  25.9
   -9.8993 462.5
   -9.8972  20.3
   -9.8939  16.5
   -9.8936  51.4
   -9.8927  20.3
   -9.8922 157.7
   -9.8922  14.2
   -9.8920  36.5
   -9.8913 111.0
   -9.8908  31.3
   -9.8907  61.0
   -9.8907  84.1
   -9.8897  13.1
   -9.8894  16.5
   -9.8893 249.3
   -9.8878  21.7
   -9.8876  23.1
   -9.8862   6.6
   -9.8860  66.3
   -9.8850  97.1
   -9.8850  23.1
   -9.8849  61.0
   -9.8843  56.1
   -9.8838  31.3
   -9.8830  13.1
   -9.8809 634.3
   -9.8790  16.5
   -9.8776  23.1
   -9.8758  47.2
   -9.8752   5.7
   -9.8747  66.3
   -9.8734 148.1
   -9.8724 130.6
   -9.8716 178.6
   -9.8714 143.6
   -9.8712 234.7
   -9.8699  38.1
   -9.8686 178.6
   -9.8638  14.2
   -9.8633  29.4
   -9.8625 107.4
   -9.8621  53.7
   -9.8621 1500.2
   -9.8618 335.3
   -9.8616  56.1
   -9.8611 289.3
   -9.8599  12.1
   -9.8591  17.6
   -9.8583 981.0
   -9.8565   8.4
   -9.8550 122.4
   -9.8549 325.5
   -9.8532  31.3
   -9.8510 139.2
   -9.8509  17.6
   -9.8504  25.9
   -9.8500  15.3
   -9.8487 126.4
   -9.8460  29.4
   -9.8448   8.4
   -9.8447  45.2
   -9.8435 162.7
   -9.8434 981.0
   -9.8424   6.6
   -9.8423  18.9
   -9.8416 1500.2
   -9.8410  61.0
   -9.8385 272.7
   -9.8350  20.3
   -9.8346 534.2
   -9.8342 167.9
   -9.8340 345.3
   -9.8324  81.0
   -9.8307  47.2
   -9.8302 118.5
   -9.8301  41.5
   -9.8286  35.0
   -9.8283  24.5
   -9.8281 981.0
   -9.8276  61.0
   -9.8265  27.6
   -9.8264 157.7
   -9.8262  41.5
   -9.8250  18.9
   -9.8231  21.7
   -9.8230 462.5
   -9.8227 981.0
   -9.8221 981.0
   -9.8199 189.8
   -9.8197  38.1
   -9.8192 173.2
   -9.8164  17.6
   -9.8161 582.3
   -9.8159 249.3
   -9.8134 152.8
   -9.8125 887.1
   -9.8123  31.3
   -9.8116  77.9
   -9.8105 249.3
   -9.8102  74.9
   -9.8090  58.5
   -9.8085  29.4
   -9.8085 264.7
   -9.8061 148.1
   -9.8048  24.5
   -9.8037 1500.2
   -9.8032  13.1
   -9.8031  43.3
   -9.8008  72.0
   -9.8005 1500.2
   -9.8005 122.4
   -9.7985 178.6
   -9.7975 214.4
   -9.7964  33.3
   -9.7961  10.1
   -9.7955 1500.2
   -9.7954  29.4
   -9.7947  23.1
   -9.7933  56.1
   -9.7924 1500.2
   -9.7917  15.3
   -9.7894 139.2
   -9.7890   9.3
   -9.7885 599.2
   -9.7878  29.4
   -9.7873 652.6
   -9.7849  15.3
   -9.7843  13.1
   -9.7833  27.6
   -9.7828  27.6
   -9.7822 162.7
   -9.7822 355.6
   -9.7814  31.3
   -9.7812 366.2
   -9.7810  18.9
   -9.7798  39.8
   -9.7791  17.6
   -9.7782  69.1
   -9.7776  18.9
   -9.7745 388.3
   -9.7737 227.7
   -9.7736 449.3
   -9.7734 599.2
   -9.7727  13.1
   -9.7726 1500.2
   -9.7724 184.1
   -9.7718 100.5
   -9.7712  84.1
   -9.7705  12.1
   -9.7699  25.9
   -9.7697  31.3
   -9.7696  61.0
   -9.7695  29.4
   -9.7694  27.6
   -9.7693  69.1
   -9.7682  31.3
   -9.7678  77.9
   -9.7673 1500.2
   -9.7668 249.3
