# TIME ENERGY
   -9.9997 962.5
   -9.9976   8.5
   -9.9964 925.6
   -9.9963  20.4
   -9.9963 173.4
   -9.9953  19.1
   -9.9947  10.2
   -9.9942  19.1
   -9.9940  26.2
   -9.9928 228.6
   -9.9923  14.3
   -9.9920  10.2
   -9.9911  27.9
   -9.9910  47.9
   -9.9907  33.6
   -9.9897  23.2
   -9.9894  10.2
   -9.9886  24.7
   -9.9885 962.5
   -9.9883  24.7
   -9.9880   8.5
   -9.9878  67.2
   -9.9868  24.7
   -9.9859 962.5
   -9.9859  64.5
   -9.9859  20.4
   -9.9834  38.7
   -9.9827 173.4
   -9.9826 593.7
   -9.9821   8.5
   -9.9804  92.1
   -9.9803   9.3
   -9.9768 184.5
   -9.9767 143.3
   -9.9757  15.4
   -9.9749 1490.6
   -9.9742  31.5
   -9.9737  59.3
   -9.9695  17.7
   -9.9679  26.2
   -9.9677  15.4
   -9.9675  20.4
   -9.9665  52.2
   -9.9664  20.4
   -9.9658  14.3
   -9.9652  27.9
   -9.9650  37.1
   -9.9646  27.9
   -9.9637  24.7
   -9.9634  24.7
   -9.9627  14.3
   -9.9625  24.7
   -9.9611  33.6
   -9.9610   9.3
   -9.9601  38.7
   -9.9600  14.3
   -9.9576 106.0
   -9.9574  17.7
   -9.9572   9.3
   -9.9556   5.0
   -9.9555  17.7
   -9.9551  14.3
   -9.9541 106.0
   -9.9526  14.3
   -9.9509 307.6
   -9.9495  45.9
   -9.9490   8.5
   -9.9476  15.4
   -9.9467 741.0
   -9.9466  24.7
   -9.9464  20.4
   -9.9448  64.5
   -9.9436  67.2
   -9.9411  27.9
   -9.9403  16.5
   -9.9396  21.8
   -9.9395  26.2
   -9.9395  31.5
   -9.9361  29.7
   -9.9354 460.8
   -9.9348  24.7
   -9.9330 235.6
   -9.9329  26.2
   -9.9326  27.9
   -9.9314 422.9
   -9.9294  23.2
   -9.9275 577.3
   -9.9268  16.5
   -9.9257  38.7
   -9.9256  17.7
   -9.9254  42.1
   -9.9254  19.1
   -9.9252  11.2
   -9.9252  23.2
   -9.9252  54.5
   -9.9245  24.7
   -9.9244 208.7
   -9.9243 925.6
   -9.9240  47.9
   -9.9237  15.4
   -9.9236  23.2
   -9.9226  23.2
   -9.9216  27.9
   -9.9208  24.7
   -9.9204 962.5
   -9.9180  13.3
   -9.9173  19.1
   -9.9172  19.1
   -9.9161  15.4
   -9.9152 515.9
   -9.9143  67.2
   -9.9121  42.1
   -9.9117  70.1
   -9.9111  70.1
   -9.9102 117.5
   -9.9101  38.7
   -9.9100   6.8
   -9.9095  13.3
   -9.9091  21.8
   -9.9076 962.5
   -9.9075   8.5
   -9.9062  73.0
   -9.9060  79.1
   -9.9055  31.5
   -9.9053 962.5
   -9.9047 962.5
   -9.9044  15.4
   -9.9035 162.8
   -9.9032  12.2
   -9.9032  29.7
   -9.9029  47.9
   -9.9014  11.2
   -9.9002  23.2
   -9.9001  54.5
   -9.9000  29.7
   -9.8990  70.1
   -9.8981  16.5
   -9.8969  31.5
   -9.8967   6.8
   -9.8961 143.3
   -9.8960  23.2
   -9.8950  13.3
   -9.8941  44.0
   -9.8934  37.1
   -9.8916  52.2
   -9.8915  31.5
   -9.8913 138.7
   -9.8900  33.6
   -9.8898  16.5
   -9.8896  21.8
   -9.8894 134.3
   -9.8876  20.4
   -9.8874  17.7
   -9.8862 1490.6
   -9.8861  33.6
   -9.8852  21.8
   -9.8833 190.3
   -9.8817  23.2
   -9.8799  12.2
   -9.8798  10.2
   -9.8797  33.6
   -9.8788  17.7
   -9.8786 962.5
   -9.8782  79.1
   -9.8764 1490.6
   -9.8745  20.4
   -9.8733 962.5
   -9.8723  27.9
   -9.8716  23.2
   -9.8709  17.7
   -9.8670  17.7
   -9.8653  52.2
   -9.8647  20.4
   -9.8643  11.2
   -9.8642 962.5
   -9.8620 228.6
   -9.8613  31.5
   -9.8595  19.1
   -9.8587  17.7
   -9.8582  29.7
   -9.8581  95.4
   -9.8575 410.9
   -9.8559  17.7
   -9.8548  37.1
   -9.8548  26.2
   -9.8529   8.5
   -9.8500  40.3
   -9.8497  38.7
   -9.8493   7.7
   -9.8482  67.2
   -9.8476  24.7
   -9.8471  17.7
   -9.8469  19.1
   -9.8468  29.7
   -9.8467  14.3
   -9.8465  17.7
   -9.8461  20.4
   -9.8458 178.9
   -9.8440   6.8
   -9.8438 184.5
   -9.8434  79.1
   -9.8424 190.3
   -9.8420  14.3
   -9.8404  85.4
   -9.8402  10.2
   -9.8397  20.4
   -9.8391  16.5
   -9.8387 962.5
   -9.8386 435.2
   -9.8383  45.9
   -9.8373  33.6
   -9.8361  20.4
   -9.8356  42.1
   -9.8352  61.9
   -9.8351 134.3
   -9.8351  15.4
   -9.8347  45.9
   -9.8341  15.4
   -9.8340  24.7
   -9.8330  23.2
   -9.8323  23.2
   -9.8316  15.4
   -9.8309  19.1
   -9.8308 962.5
   -9.8289 138.7
   -9.8280  10.2
   -9.8277  27.9
