# TIME ENERGY
   -9.9998  17.4
   -9.9990 1498.6
   -9.9988 500.6
   -9.9984  76.9
   -9.9977  86.2
   -9.9955 420.1
   -9.9947 595.4
   -9.9944  65.4
   -9.9943 205.5
   -9.9943  30.8
   -9.9931  13.0
   -9.9919  27.1
   -9.9913  46.6
   -9.9906 124.9
   -9.9905  50.7
   -9.9902  27.1
   -9.9896  10.0
   -9.9893  27.1
   -9.9890  11.0
   -9.9885 1498.6
   -9.9876 199.4
   -9.9867  14.1
   -9.9864 187.5
   -9.9859  25.5
   -9.9853  22.7
   -9.9833  30.8
   -9.9823  28.9
   -9.9817 1498.6
   -9.9814  55.3
   -9.9813  21.4
   -9.9809  32.8
   -9.9804 199.4
   -9.9796  14.1
   -9.9795  15.2
   -9.9793  27.1
   -9.9793 113.3
   -9.9785  17.4
   -9.9778  30.8
   -9.9765  13.0
   -9.9758  25.5
   -9.9749  73.9
   -9.9727  71.1
   -9.9724 171.1
   -9.9721  39.3
   -9.9720  37.6
   -9.9715  62.8
   -9.9715  46.6
   -9.9712 1498.6
   -9.9711  36.1
   -9.9710  25.5
   -9.9699  57.7
   -9.9689  16.3
   -9.9689  30.8
   -9.9684 239.2
   -9.9680  53.0
   -9.9675  16.3
   -9.9669 109.7
   -9.9667  76.9
   -9.9660  12.0
   -9.9659   9.2
   -9.9655 331.9
   -9.9651  15.2
   -9.9645 1498.6
   -9.9643  28.9
   -9.9640  25.5
   -9.9632  14.1
   -9.9618  27.1
   -9.9614   7.5
   -9.9604 129.0
   -9.9603  30.8
   -9.9585  80.0
   -9.9582  12.0
   -9.9575 977.9
   -9.9572  55.3
   -9.9567 102.7
   -9.9552  17.4
   -9.9544  30.8
   -9.9531 181.9
   -9.9517  13.0
   -9.9515  14.1
   -9.9512  15.2
   -9.9506  60.2
   -9.9505 232.0
   -9.9500  34.6
   -9.9470   6.6
   -9.9435  15.2
   -9.9428  83.1
   -9.9420  24.1
   -9.9383 239.2
   -9.9370  71.1
   -9.9363  27.1
   -9.9353 146.4
   -9.9349  12.0
   -9.9331  12.0
   -9.9330  34.6
   -9.9304  50.7
   -9.9291  50.7
   -9.9275 1498.6
   -9.9275 977.9
   -9.9265 727.1
   -9.9254  17.4
   -9.9244  16.3
   -9.9233  14.1
   -9.9232  11.0
   -9.9232  13.0
   -9.9230  76.9
   -9.9229  20.0
   -9.9222 1498.6
   -9.9207  96.0
   -9.9206  22.7
   -9.9204 312.8
   -9.9197 176.4
   -9.9191  17.4
   -9.9187  14.1
   -9.9185  15.2
   -9.9175  21.4
   -9.9166 176.4
   -9.9160  36.1
   -9.9151  57.7
   -9.9146 218.4
   -9.9128  89.5
   -9.9128  60.2
   -9.9125  62.8
   -9.9120  39.3
   -9.9119 362.8
   -9.9117  20.0
   -9.9110  89.5
   -9.9098  32.8
   -9.9097  44.6
   -9.9092  30.8
   -9.9053  68.2
   -9.9046  22.7
   -9.9005  48.6
   -9.9005 1498.6
   -9.8988  13.0
   -9.8976  11.0
   -9.8971  17.4
   -9.8965  44.6
   -9.8960 1498.6
   -9.8951  21.4
   -9.8938  30.8
   -9.8935  17.4
   -9.8923   8.3
   -9.8920  80.0
   -9.8920  15.2
   -9.8917  11.0
   -9.8913 225.1
   -9.8908  30.8
   -9.8906   8.3
   -9.8902  11.0
   -9.8899  99.3
   -9.8884  11.0
   -9.8865 187.5
   -9.8864 939.7
   -9.8863   7.5
   -9.8860  92.7
   -9.8856  28.9
   -9.8850  21.4
   -9.8846  11.0
   -9.8846  18.7
   -9.8836  12.0
   -9.8831   8.3
   -9.8822 686.9
   -9.8819 727.1
   -9.8814  60.2
   -9.8809  13.0
   -9.8809  92.7
   -9.8799  27.1
   -9.8797 1498.6
